date,Day,holiday_name,skill_id,Time,Time Hour,Time Min,Call
1/1/2014,Wed,New Year ,3,430,,,6
1/1/2014,Wed,New Year ,3,500,,,9
1/1/2014,Wed,New Year ,3,530,,,10
1/1/2014,Wed,New Year ,3,600,,,4
1/1/2014,Wed,New Year ,3,630,,,17
1/1/2014,Wed,New Year ,3,700,,,22
1/1/2014,Wed,New Year ,3,730,,,32
1/1/2014,Wed,New Year ,3,800,,,30
1/1/2014,Wed,New Year ,3,830,,,29
1/1/2014,Wed,New Year ,3,900,,,45
1/1/2014,Wed,New Year ,3,930,,,38
1/1/2014,Wed,New Year ,3,1000,,,48
1/1/2014,Wed,New Year ,3,1030,,,46
1/1/2014,Wed,New Year ,3,1100,,,53
1/1/2014,Wed,New Year ,3,1130,,,50
1/1/2014,Wed,New Year ,3,1200,,,44
1/1/2014,Wed,New Year ,3,1230,,,46
1/1/2014,Wed,New Year ,3,1300,,,48
1/1/2014,Wed,New Year ,3,1330,,,47
1/1/2014,Wed,New Year ,3,1400,,,60
1/1/2014,Wed,New Year ,3,1430,,,19
1/1/2014,Wed,New Year ,3,1500,,,40
1/1/2014,Wed,New Year ,3,1530,,,49
1/1/2014,Wed,New Year ,3,1600,,,44
1/1/2014,Wed,New Year ,3,1630,,,53
1/1/2014,Wed,New Year ,3,1700,,,24
1/1/2014,Wed,New Year ,3,1730,,,32
1/1/2014,Wed,New Year ,3,1800,,,24
1/1/2014,Wed,New Year ,3,1830,,,26
1/1/2014,Wed,New Year ,3,1900,,,33
1/1/2014,Wed,New Year ,3,1930,,,22
1/1/2014,Wed,New Year ,3,2000,,,20
1/1/2014,Wed,New Year ,3,2030,,,16
1/1/2014,Wed,New Year ,3,2100,,,17
1/1/2014,Wed,New Year ,3,2130,,,20
1/1/2014,Wed,New Year ,3,2200,,,18
1/1/2014,Wed,New Year ,3,2230,,,15
1/1/2014,Wed,New Year ,3,2300,,,19
1/1/2014,Wed,New Year ,3,2330,,,13
1/1/2014,Wed,New Year ,4,0,,,0
1/1/2014,Wed,New Year ,4,30,,,0
1/1/2014,Wed,New Year ,4,100,,,0
1/1/2014,Wed,New Year ,4,130,,,0
1/1/2014,Wed,New Year ,4,200,,,0
1/1/2014,Wed,New Year ,4,230,,,0
1/1/2014,Wed,New Year ,4,300,,,0
1/1/2014,Wed,New Year ,4,330,,,0
1/1/2014,Wed,New Year ,4,400,,,0
1/1/2014,Wed,New Year ,4,430,,,0
1/1/2014,Wed,New Year ,4,500,,,0
1/1/2014,Wed,New Year ,4,530,,,0
1/1/2014,Wed,New Year ,4,600,,,0
1/1/2014,Wed,New Year ,4,630,,,0
1/1/2014,Wed,New Year ,4,700,,,0
1/1/2014,Wed,New Year ,4,730,,,0
1/1/2014,Wed,New Year ,4,800,,,0
1/1/2014,Wed,New Year ,4,830,,,0
1/1/2014,Wed,New Year ,4,900,,,0
1/1/2014,Wed,New Year ,4,930,,,0
1/1/2014,Wed,New Year ,4,1000,,,0
1/1/2014,Wed,New Year ,4,1030,,,0
1/1/2014,Wed,New Year ,4,1100,,,0
1/1/2014,Wed,New Year ,4,1130,,,0
1/1/2014,Wed,New Year ,4,1200,,,0
1/1/2014,Wed,New Year ,4,1230,,,0
1/1/2014,Wed,New Year ,4,1300,,,0
1/1/2014,Wed,New Year ,4,1330,,,0
1/1/2014,Wed,New Year ,4,1400,,,0
1/1/2014,Wed,New Year ,4,1430,,,0
1/1/2014,Wed,New Year ,4,1500,,,0
1/1/2014,Wed,New Year ,4,1530,,,0
1/1/2014,Wed,New Year ,4,1600,,,0
1/1/2014,Wed,New Year ,4,1630,,,0
1/1/2014,Wed,New Year ,4,1700,,,0
1/1/2014,Wed,New Year ,4,1730,,,0
1/1/2014,Wed,New Year ,4,1800,,,0
1/1/2014,Wed,New Year ,4,1830,,,0
1/1/2014,Wed,New Year ,4,1900,,,0
1/1/2014,Wed,New Year ,4,1930,,,0
1/1/2014,Wed,New Year ,4,2000,,,0
1/1/2014,Wed,New Year ,4,2030,,,0
1/1/2014,Wed,New Year ,4,2100,,,0
1/1/2014,Wed,New Year ,4,2130,,,0
1/1/2014,Wed,New Year ,4,2200,,,0
1/1/2014,Wed,New Year ,4,2230,,,0
1/1/2014,Wed,New Year ,4,2300,,,0
1/1/2014,Wed,New Year ,4,2330,,,0
1/1/2014,Wed,New Year ,7,0,,,0
1/1/2014,Wed,New Year ,7,30,,,0
1/1/2014,Wed,New Year ,7,100,,,1
1/1/2014,Wed,New Year ,7,130,,,1
1/1/2014,Wed,New Year ,7,200,,,0
1/1/2014,Wed,New Year ,7,230,,,0
1/1/2014,Wed,New Year ,7,300,,,0
1/1/2014,Wed,New Year ,7,330,,,1
1/1/2014,Wed,New Year ,7,400,,,0
1/1/2014,Wed,New Year ,7,430,,,0
1/1/2014,Wed,New Year ,7,500,,,0
1/1/2014,Wed,New Year ,7,530,,,2
1/1/2014,Wed,New Year ,7,600,,,1
1/1/2014,Wed,New Year ,7,630,,,0
1/1/2014,Wed,New Year ,7,700,,,0
1/1/2014,Wed,New Year ,7,730,,,0
1/1/2014,Wed,New Year ,7,800,,,2
1/1/2014,Wed,New Year ,7,830,,,1
1/1/2014,Wed,New Year ,7,900,,,3
1/1/2014,Wed,New Year ,7,930,,,4
1/1/2014,Wed,New Year ,7,1000,,,5
1/1/2014,Wed,New Year ,7,1030,,,2
1/1/2014,Wed,New Year ,7,1100,,,3
1/1/2014,Wed,New Year ,7,1130,,,1
1/1/2014,Wed,New Year ,7,1200,,,2
1/1/2014,Wed,New Year ,7,1230,,,3
1/1/2014,Wed,New Year ,7,1300,,,2
1/1/2014,Wed,New Year ,7,1330,,,2
1/1/2014,Wed,New Year ,7,1400,,,1
1/1/2014,Wed,New Year ,7,1430,,,4
1/1/2014,Wed,New Year ,7,1500,,,1
1/1/2014,Wed,New Year ,7,1530,,,2
1/1/2014,Wed,New Year ,7,1600,,,0
1/1/2014,Wed,New Year ,7,1630,,,1
1/1/2014,Wed,New Year ,7,1700,,,2
1/1/2014,Wed,New Year ,7,1730,,,1
1/1/2014,Wed,New Year ,7,1800,,,2
1/1/2014,Wed,New Year ,7,1830,,,0
1/1/2014,Wed,New Year ,7,1900,,,3
1/1/2014,Wed,New Year ,7,1930,,,1
1/1/2014,Wed,New Year ,7,2000,,,0
1/1/2014,Wed,New Year ,7,2030,,,1
1/1/2014,Wed,New Year ,7,2100,,,1
1/1/2014,Wed,New Year ,7,2130,,,0
1/1/2014,Wed,New Year ,7,2200,,,0
1/1/2014,Wed,New Year ,7,2230,,,0
1/1/2014,Wed,New Year ,7,2300,,,0
1/1/2014,Wed,New Year ,7,2330,,,0
1/1/2014,Wed,New Year ,8,0,,,5
1/1/2014,Wed,New Year ,8,30,,,1
1/1/2014,Wed,New Year ,8,100,,,2
1/1/2014,Wed,New Year ,8,130,,,0
1/1/2014,Wed,New Year ,8,200,,,1
1/1/2014,Wed,New Year ,8,230,,,1
1/1/2014,Wed,New Year ,8,300,,,6
1/1/2014,Wed,New Year ,8,330,,,1
1/1/2014,Wed,New Year ,8,400,,,1
1/1/2014,Wed,New Year ,8,430,,,1
1/1/2014,Wed,New Year ,8,500,,,1
1/1/2014,Wed,New Year ,8,530,,,4
1/1/2014,Wed,New Year ,8,600,,,1
1/1/2014,Wed,New Year ,8,630,,,6
1/1/2014,Wed,New Year ,8,700,,,7
1/1/2014,Wed,New Year ,8,730,,,7
1/1/2014,Wed,New Year ,8,800,,,10
1/1/2014,Wed,New Year ,8,830,,,9
1/1/2014,Wed,New Year ,8,900,,,24
1/1/2014,Wed,New Year ,8,930,,,15
1/1/2014,Wed,New Year ,8,1000,,,11
1/1/2014,Wed,New Year ,8,1030,,,9
1/1/2014,Wed,New Year ,8,1100,,,8
1/1/2014,Wed,New Year ,8,1130,,,12
1/1/2014,Wed,New Year ,8,1200,,,15
1/1/2014,Wed,New Year ,8,1230,,,7
1/1/2014,Wed,New Year ,8,1300,,,9
1/1/2014,Wed,New Year ,8,1330,,,13
1/1/2014,Wed,New Year ,8,1400,,,13
1/1/2014,Wed,New Year ,8,1430,,,13
1/1/2014,Wed,New Year ,8,1500,,,9
1/1/2014,Wed,New Year ,8,1530,,,12
1/1/2014,Wed,New Year ,8,1600,,,12
1/1/2014,Wed,New Year ,8,1630,,,13
1/1/2014,Wed,New Year ,8,1700,,,11
1/1/2014,Wed,New Year ,8,1730,,,13
1/1/2014,Wed,New Year ,8,1800,,,6
1/1/2014,Wed,New Year ,8,1830,,,9
1/1/2014,Wed,New Year ,8,1900,,,5
1/1/2014,Wed,New Year ,8,1930,,,7
1/1/2014,Wed,New Year ,8,2000,,,9
1/1/2014,Wed,New Year ,8,2030,,,4
1/1/2014,Wed,New Year ,8,2100,,,4
1/1/2014,Wed,New Year ,8,2130,,,6
1/1/2014,Wed,New Year ,8,2200,,,8
1/1/2014,Wed,New Year ,8,2230,,,7
1/1/2014,Wed,New Year ,8,2300,,,14
1/1/2014,Wed,New Year ,8,2330,,,4
1/1/2014,Wed,New Year ,13,0,,,1
1/1/2014,Wed,New Year ,13,30,,,1
1/1/2014,Wed,New Year ,13,100,,,0
1/1/2014,Wed,New Year ,13,130,,,1
1/1/2014,Wed,New Year ,13,200,,,11
1/1/2014,Wed,New Year ,13,230,,,0
1/1/2014,Wed,New Year ,13,300,,,1
1/1/2014,Wed,New Year ,13,330,,,1
1/1/2014,Wed,New Year ,13,400,,,0
1/1/2014,Wed,New Year ,13,430,,,0
1/1/2014,Wed,New Year ,13,500,,,0
1/1/2014,Wed,New Year ,13,530,,,0
1/1/2014,Wed,New Year ,13,600,,,0
1/1/2014,Wed,New Year ,13,630,,,3
1/1/2014,Wed,New Year ,13,700,,,4
1/1/2014,Wed,New Year ,13,730,,,5
1/1/2014,Wed,New Year ,13,800,,,3
1/1/2014,Wed,New Year ,13,830,,,2
1/1/2014,Wed,New Year ,13,900,,,4
1/1/2014,Wed,New Year ,13,930,,,0
1/1/2014,Wed,New Year ,13,1000,,,2
1/1/2014,Wed,New Year ,13,1030,,,3
1/1/2014,Wed,New Year ,13,1100,,,0
1/1/2014,Wed,New Year ,13,1130,,,6
1/1/2014,Wed,New Year ,13,1200,,,5
1/1/2014,Wed,New Year ,13,1230,,,3
1/1/2014,Wed,New Year ,13,1300,,,14
